"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.737520694732666","1.15323007106781","1.01727342605591","0.972128868103027","0.967198193073273","1.25234353542328","1.28188371658325","1.27358782291412","1.2846497297287","1.27806329727173","1.27683234214783","1.27399480342865","1.27949273586273","1.29565441608429","1.28282356262207","1.2625652551651","1.28185057640076","1.01815533638","1.01316380500793","1.0191752910614",
"Africa Eastern and Southern","AFE","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.90854012966156","","-2.03930115699768","","-2.03141713142395","","-1.43342101573944","-1.1775711774826","-1.20303392410278","-1.12542963027954","-1.11029398441315","-1.05765390396118","-1.16890180110931","-1.37549519538879","-1.40446734428406","-1.33597695827484","-1.26743006706238","-1.24013912677765","-1.13552260398865","-1.11762809753418","-1.03783690929413","-0.990954160690308","-1.00768673419952","-1.00671291351318","-1.07826685905457","-1.56838941574097","-1.75352871417999","-1.85290133953094",
"Africa Western and Central","AFW","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.57816350460052","","-1.41187870502472","","-1.45806467533112","","-1.23877906799316","-1.27261531352997","-1.28547978401184","-1.23471939563751","-1.25208795070648","-1.18531394004822","-1.11934685707092","-1.12613534927368","-1.12052512168884","-1.12547838687897","-1.07624673843384","-1.11391913890839","-1.14532363414764","-1.17716491222382","-1.14032745361328","-1.09524345397949","-0.903594315052032","-0.793109953403473","-0.816005945205688","-0.859023571014404","-0.807577967643738","-0.737252414226532",
"Albania","ALB","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.648297846317291","","-0.387372851371765","","-0.285138666629791","","-0.00815020967274904","0.0703076869249344","0.00723749911412597","0.0036717876791954","0.0758899599313736","0.113008469343185","0.174939081072807","0.141477331519127","0.123838223516941","0.0623337626457214","0.0220640376210213","0.0488644428551197","0.143689781427383","0.157135263085365","0.171097502112389","0.203885167837143","0.188786596059799","0.141965284943581","0.0863254442811012","0.0855889618396759","0.141740188002586","0.168997228145599",
"Andorra","AND","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56321668624878","","1.52875912189484","","1.53565549850464","","1.43712818622589","1.42226195335388","1.56307661533356","1.52818155288696","1.32997930049896","1.30550646781921","1.32532179355621","1.32293725013733","1.32430839538574","1.36045336723328","1.43383765220642","1.40662503242493","1.16595566272736","1.19445466995239","1.17644572257996","1.16151881217957","1.04703915119171","1.1081018447876","1.08533525466919","1.03249990940094","1.10678911209106","0.996939778327942",
"Arab World","ARB","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.409403622150421","","-0.519163191318512","","-0.516841351985931","","-0.631543517112732","-0.912192344665527","-0.687912881374359","-0.708473205566406","-0.999829351902008","-0.906883299350739","-0.9123814702034","-0.838367760181427","-0.903547346591949","-0.89624410867691","-1.00081920623779","-1.01959705352783","-1.06146609783173","-1.11243331432343","-1.05007648468018","-1.0966237783432","-1.1226601600647","-1.139524102211","-1.17806625366211","-1.19142639636993","-1.12749147415161","-1.0949410200119",
"Argentina","ARG","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39190337061882","","0.308850228786469","","0.418346971273422","","0.260062754154205","0.349125266075134","0.362040877342224","0.269231617450714","0.403436541557312","0.448621332645416","0.358895927667618","0.280091494321823","0.361670136451721","0.344941824674606","0.295209914445877","0.276933550834656","0.34527176618576","0.411758154630661","0.49326366186142","0.528708100318909","0.539252579212189","0.570874631404877","0.584501206874847","0.610777020454407","0.546316981315613","0.533921837806702",
"Armenia","ARM","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.56990909576416","","-0.335518449544907","","-0.374595284461975","","-0.444421142339706","-0.467406183481216","-0.572165548801422","-0.591363310813904","-0.742222785949707","-0.759377896785736","-0.857629656791687","-0.876420259475708","-0.847521543502808","-0.690779805183411","-0.570491433143616","-0.588099241256714","-0.562132000923157","-0.536273837089539","-0.579092621803284","-0.560670435428619","-0.130965158343315","0.0547882094979286","0.0473478920757771","0.0541607961058617","0.0903258174657822","0.0767075568437576",
"American Samoa","ASM","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.503726005554199","0.654332458972931","0.54846316576004","0.972128868103027","0.967198193073273","0.963811635971069","0.988284409046173","1.00905168056488","1.02567172050476","1.00473141670227","","","","","","1.31854784488678","0.970990180969238","0.980956017971039","0.952084183692932","",
"Antigua and Barbuda","ATG","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.333532422780991","","0.339321404695511","","0.390961945056915","","0.336637645959854","0.31748366355896","0.573030769824982","0.533180177211761","0.631312012672424","0.54363602399826","0.573908567428589","0.589427828788757","0.495849043130875","0.51117467880249","0.640056967735291","0.61894690990448","0.558705985546112","0.594934701919556","0.633536577224731","0.608409464359283","0.578873872756958","0.731440126895905","0.741594791412354","0.729783952236176","0.724552810192108","0.741840481758118",
"Australia","AUS","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44020295143127","","1.4074912071228","","1.47130513191223","","1.40723323822021","1.44212782382965","1.50154197216034","1.50705575942993","1.38279473781586","1.3691999912262","1.36807608604431","1.38379085063934","1.41976547241211","1.45372104644775","1.49919033050537","1.43636846542358","1.36167418956757","1.35573124885559","1.35410094261169","1.37863683700562","1.39378583431244","1.27036511898041","1.29898488521576","1.35812592506409","1.32390677928925","1.50660192966461",
"Austria","AUT","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44895005226135","","1.35477888584137","","1.31755948066711","","1.30749690532684","1.34388208389282","1.47565114498138","1.37865650653839","1.37268495559692","1.36926245689392","1.35846436023712","1.39284467697144","1.43029069900513","1.40244364738464","1.44877302646637","1.45652639865875","1.39129602909088","1.38369190692902","1.33784782886505","1.38622164726257","1.39954924583435","1.33715832233429","1.39462888240814","1.38638341426849","1.41365766525269","1.41124832630157",
"Azerbaijan","AZE","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.12103068828583","","-1.02284121513367","","-0.906228959560394","","-0.981288135051727","-1.04470455646515","-1.05670249462128","-1.12416350841522","-1.27916121482849","-1.23339664936066","-1.32513201236725","-1.25976669788361","-1.30459702014923","-1.30184757709503","-1.29948163032532","-1.40288960933685","-1.47932517528534","-1.55243062973022","-1.56092178821564","-1.563645362854","-1.50814247131348","-1.52860414981842","-1.54086601734161","-1.52737867832184","-1.44162666797638","-1.41153395175934",
